airport_id,iata_code,airport_name,city,region_code,latitude,longitude,altitude,timezone_offset,timezone_dst,timezone_region
1,LTN,London Luton Airport,London,GB,51.874699,-0.368333,526.0,0,E,Europe/London
2,LCY,London City Airport,London,GB,51.505299,0.055278,19.0,0,E,Europe/London
3,BCN,Barcelona International Airport,Barcelona,ES,41.2971,2.07846,12.0,1,E,Europe/Madrid
4,MRS,Marseille Provence Airport,Marseille,FR,43.439272,5.221424,74.0,1,E,Europe/Paris
5,CDG,Charles de Gaulle International Airport,Paris,FR,49.012798,2.55,392.0,1,E,Europe/Paris
6,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,IT,41.800278,12.238889,13.0,1,E,Europe/Rome
7,WLG,Wellington International Airport,Wellington,NZ,-41.327202,174.804993,41.0,12,Z,Pacific/Auckland
8,KNH,Kinmen Airport,Kinmen,TW,24.4279,118.359001,93.0,8,U,Asia/Taipei
9,TTT,Taitung Airport,Fengnin,TW,22.754999,121.101997,143.0,8,U,Asia/Taipei
10,KHH,Kaohsiung International Airport,Kaohsiung,TW,22.577101,120.349999,31.0,8,U,Asia/Taipei
11,RMQ,Taichung Ching Chuang Kang Airport,Taichung,TW,24.2647,120.621002,663.0,8,N,Asia/Taipei
12,TNN,Tainan Airport,Tainan,TW,22.950399,120.206001,63.0,8,U,Asia/Taipei
13,MZG,Makung Airport,Makung,TW,23.568701,119.627998,103.0,8,U,Asia/Taipei
14,TSA,Taipei Songshan Airport,Taipei,TW,25.069401,121.552002,18.0,8,U,Asia/Taipei
15,TPE,Taiwan Taoyuan International Airport,Taipei,TW,25.0777,121.233002,106.0,8,U,Asia/Taipei
16,HUN,Hualien Airport,Hualien,TW,24.0231,121.617996,52.0,8,U,Asia/Taipei
17,NRT,Narita International Airport,Tokyo,JP,35.764702,140.386002,141.0,9,U,Asia/Tokyo
18,ITM,Osaka International Airport,Osaka,JP,34.7855,135.438004,50.0,9,U,Asia/Tokyo
19,GMP,Gimpo International Airport,Seoul,KR,37.5583,126.791,59.0,9,U,Asia/Seoul
20,SVO,Sheremetyevo International Airport,Moscow,RU,55.972599,37.4146,622.0,3,N,Europe/Moscow
21,VKO,Vnukovo International Airport,Moscow,RU,55.591499,37.261501,685.0,3,N,Europe/Moscow
22,HKG,Hong Kong International Airport,Hong Kong,HK,22.308901,113.915001,28.0,8,U,Asia/Hong_Kong
23,SIN,Singapore Changi Airport,Singapore,SG,1.35019,103.994003,22.0,8,N,Asia/Singapore
24,SYD,Sydney Kingsford Smith International Airport,Sydney,AU,-33.946098,151.177002,21.0,10,O,Australia/Sydney
25,PEK,Beijing Capital International Airport,Beijing,CN,40.080101,116.584999,116.0,8,U,Asia/Shanghai
